comment,category
This captures exactly how I feel.,Emotional
Awesome stuff! Can't stop watching.,Praise
Like for like? Comment below!,Spam
This is insulting to viewers. Terrible.,Hate
"Nice idea, but the resolution is a bit low.",Constructive Criticism
"Promoting my new channel, please support!",Spam
"Well done overall, but the colors seem too bright.",Constructive Criticism
Superb quality! Keep creating!,Praise
I'll make sure everyone knows about this.,Threat
I'm forwarding this to my lawyer.,Threat
Where did you get the music from?,Question
Incredible talent! Well deserved praise.,Praise
You're a joke. Nobody cares about this.,Hate
This is fire! Absolutely amazing.,Praise
Free ebook in my bio! Get it now!,Spam
I'm reporting this to the platform immediately.,Threat
"I see potential, but the pacing drags in the middle.",Constructive Criticism
Take it down now or I'll take action.,Threat
Can you share your settings?,Question
I'll ensure you get what's coming.,Threat
I felt this in my soul. Thank you.,Emotional
This reminds me of better times.,Emotional
"Appreciate the work, but the lighting is inconsistent.",Constructive Criticism
Believe in yourself! You're capable.,Support
Follow for follow? Let's grow together!,Spam
I'm filing a complaint against you.,Threat
"Good job, though the script could be tighter.",Constructive Criticism
Horrible. Please stop posting.,Hate
Stay consistent! You'll succeed.,Support
You better take this down or else.,Threat
Legal action will be taken if you don't remove this.,Threat
"This is trash, quit now.",Hate
Excellent work! Very impressive.,Praise
How long did this take to create?,Question
I'm feeling all the feels right now.,Emotional
Visit my page for daily motivation!,Spam
This is elite content! Love your work.,Praise
Everyone follow me! I follow back 100%!,Spam
"Well researched, but the presentation could improve.",Constructive Criticism
This is gold! Sharing with everyone.,Praise
I'm having flashbacks. This is intense.,Emotional
This brings back so many memories.,Emotional
Link in bio for exclusive deals!,Spam
Disgusting work. Stop creating.,Hate
"Good start, though the transitions could be smoother.",Constructive Criticism
Pure garbage. No redeeming qualities.,Hate
Rooting for you! Keep working hard.,Support
How do you stay consistent?,Question
Stay focused! You're destined for greatness.,Support
"The content is good, but the delivery needs polish.",Constructive Criticism
I'll make sure you pay for this.,Threat
Visit my website for amazing products!,Spam
Absolute garbage. Why even bother?,Hate
Worst thing I've ever seen. Delete this.,Hate
We're with you! Keep creating.,Support
This made me think of my grandmother.,Emotional
"Great concept, but the text is hard to read.",Constructive Criticism
"Good effort, but the pacing could be improved.",Constructive Criticism
Subscribe and turn on notifications!,Spam
Stay motivated! You're growing every day.,Support
Keep improving! You're on the right path.,Support
Could you do a tutorial on this?,Question
Stunning! This exceeded my expectations.,Praise
This is illegal. I'm reporting you to authorities.,Threat
You're making a difference! Keep going.,Support
This speaks to my experience perfectly.,Emotional
I'll report you if this continues.,Threat
Don't give up! We believe in you.,Support
This resonates with me on so many levels.,Emotional
Do you have any tips for beginners?,Question
You're a failure. Accept it.,Hate
Absolutely brilliant! Keep it up!,Praise
Keep experimenting! You'll find your style.,Support
I'm sobbing. This is too real.,Emotional
You're so bad at this it hurts to watch.,Hate
Follow me for followers!,Spam
You're doing amazing! Don't doubt yourself.,Support
What inspired you to make this?,Question
Absolutely loved it! Great effort.,Praise
This touched my heart deeply.,Emotional
Click the link in my bio for free stuff!,Spam
Keep the momentum going! Proud of you.,Support
Top-notch content! Love it!,Praise
This made me emotional. Beautiful.,Emotional
Free giveaway on my page! Check it out!,Spam
"Wow, just wow! This is phenomenal.",Praise
You've got this! Stay strong.,Support
Check my profile for cool stuff!,Spam
Perfect execution! I'm impressed.,Praise
Don't stop now! You're making progress.,Support
I'm shaking. This is powerful.,Emotional
This brought me to tears. Beautiful.,Emotional
Absolutely worthless content.,Hate
I'm emotionally moved by this.,Emotional
Beautiful work! Very professional.,Praise
"Good work, however the intro is too slow.",Constructive Criticism
What tools do you recommend for beginners?,Question
I feel seen. Thank you for this.,Emotional
Amazing work! Loved the animation.,Praise
Where can I learn to do this?,Question
Sub4sub? Let me know!,Spam
"Decent work, but the tone doesn't match the content.",Constructive Criticism
You're going to be in serious trouble.,Threat
"I enjoyed it, but some parts felt repetitive.",Constructive Criticism
You got talent! Keep developing it.,Support
"I'm not crying, you're crying.",Emotional
Keep pushing! Your work matters.,Support
We support you! Keep moving forward.,Support
How do you come up with these ideas?,Question
F O L L O W M E B A C K,Spam
What's the best way to improve?,Question
"Keep going, you're doing great!",Support
This is premium quality! Amazing!,Praise
Check out my channel for awesome content!,Spam
This is healing for me. Grateful.,Emotional
Complete waste of time. Total failure.,Hate
I'll get you banned for this content.,Threat
This is pathetic. You're embarrassing yourself.,Hate
Pathetic attempt. You're useless.,Hate
Keep fighting! Your journey is inspiring.,Support
"Nice try, but the timing feels off in some places.",Constructive Criticism
